name,website,description,location,stage,all_stages,check_size,focus_areas,source
10H Capital,www.10hcapital.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
14bis Supply Tracking,www.14bis.aero,,,,,,,Foodtech Investor List
1871,www.1871.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
1871/Bunker Labs Veteran Accelerator,https://www.bunkerlabs.org/,,,,,,,Non-Dilutive Capital Master
2048 Ventures,https://airtable.com/appV89PYGo3zN47f9/pagNjeYwHGDSGIs3/form,,Global,preseed,Pre-seed,$250k-$750k,"AI/Data, B2B/SaaS, Hardtech",Equity Funding Master
350 North Orleans,,Creative community hub with river views and rooftop deck,River North,,,,,Dilutive Capital Resources
43North,https://www.43north.org/,,,,,,,Non-Dilutive Capital Master
53 Stations,https://www.53stations.com/,"Seed to Series B in tech-forward companies across AI, enterprise software, logistics, healthtech, fintech.",Chicago,seed,"seed,Series A",$500K-$5M,"AI, Enterprise, Logistics, HealthTech, FinTech",Equity Funding Master
7wire Ventures,https://www.7wireventures.com/,"Healthcare-focused VC investing in digital health, healthcare IT, and services. Most active healthcare investor in Midwest.",Chicago,Series A,"seed,Series A,Series B",$5M-$15M,"Digital health, Healthcare IT",Equity Funding Master
8VC,https://www.8vc.com/,,,,,,,T4G Investor List
A1 Health Ventures,www.a1healthventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
a11y Capital,https://www.a11ycapital.com/,Supporting startups building accessible products for people with disabilities.,National,seed,seed,$100K-$1M,"Accessibility, Disability inclusion",Equity Funding Master
AAUW Career Development Grants,https://www.aauw.org/,,,,,,,Non-Dilutive Capital Master
Abundant Venture Partners,https://www.abundantventurepartners.com/venture-studio/#venture-studio-contact,Chicago,"Chicago, IL",seed,Studio/Seed,,"Health/Med, B2B/SaaS",Equity Funding Master
ADM Ventures,,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Agri Corps,agricorps.org,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
AIT Worldwide Logistics,www.aitworldwide.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Alector (Former),www.alector.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Alignpact,www.alignpact.com,,,,,,,Created from contacts (Active VCs CVCs)
Alumni Ventures,https://www.av.vc/,,,,,,,T4G Investor List
Amber Grant,https://ambergrantsforwomen.com/,,,,,,,Non-Dilutive Capital Master
Amber Grant for Women,https://ambergrantsforwomen.com/,,,,,,,Non-Dilutive Capital Master
American Family Institute Innovation Grant,https://www.amfam.com/,,,,,,,Non-Dilutive Capital Master
American Underground - Launch Challenge,https://www.americanunderground.com/,,,,,,,Non-Dilutive Capital Master
Amplifyher Ventures (Top 5),https://www.amplifyherventures.com/,,,,,,,T4G Investor List
Angeles Investors,https://angelesinvestors.com/,Focus on Latino/Latina founders.,Global,preseed,preseed,$25K-$100K,Latino/Latina founders,Equity Funding Master
Arch Grants,https://archgrants.org/,,,,,,,Non-Dilutive Capital Master
Arch Venture Partners,https://www.archventure.com/,"Life science VC focused on preventing, detecting, and curing disease.",Chicago,Series A,"seed,Series A,Series B",$5M-$30M,Life sciences,Equity Funding Master
Arundel Way Partners,arundelwaypartners.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Asymmetric Capital Partners (Top 5),https://www.acp.vc/,,,,,,,T4G Investor List
Asymmetry Ventures (Top 5),https://asymmetry.vc/,,,,,,,T4G Investor List
AutoMetrics,autometrics.ca,,,,,,,Foodtech Investor List
Automotive Ventures,https://www.automotiveventures.com/,,,,,,,T4G Investor List
Autotech Ventures (Top 5),https://www.autotechvc.com/,,,,,,,T4G Investor List
Awaken Capital,www.awakencap.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Awesome Foundation,https://www.awesomefoundation.org/,,,,,,,Non-Dilutive Capital Master
AWS Activate,https://aws.amazon.com/activate/,,,,,,,Non-Dilutive Capital Master
B Capital Group (Top 5),https://b.capital/,,,,,,,T4G Investor List
Babelus,babelus.com,,,,,,,Foodtech Investor List
Backstage Capital Accelerator,https://backstagecapital.com/,,,,,,,Non-Dilutive Capital Master
Bain Capital Life Sciences,www.baincapitallifesciences.com,,,,,,,Created from contacts (Active VCs CVCs)
Baird Capital,https://www.bairdcapital.com/investment-strategies/venture-capital/,Growth stage,Global,Series A+,Growth/Series B+,,"Software, Healthcare, Consumer, Industrial Tech",Equity Funding Master
Bar 9 Ventures,www.bar9ventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Barrel Ventures,https://www.barrelvc.com/,Seed and Series A investments in food & beverage and consumer CPG.,Chicago,seed,"seed,Series A",$500K-$5M,"Food & Beverage, CPG",Equity Funding Master
Bay City Capital,www.baycitycapital.com,,,,,,,Created from contacts (Active VCs CVCs)
Baylor New Venture Competition - Round 2,https://hankamer.baylor.edu/baugh-center/new-venture,,,,,,,Non-Dilutive Capital Master
BBG Ventures (Top 5),https://www.bbgventures.com/,,,,,,,T4G Investor List
Ben Jen Holdings,www.benjenholdings.com,,,,,,,Created from contacts (Active VCs CVCs)
Beta Boom,https://www.betaboom.com/apply,Founders who defy Silicon Valley mold,Global,preseed,Pre-seed,$350k-$500k,Software,Equity Funding Master
Bill & Melinda Gates Foundation,www.gatesfoundation.org,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Biopath Ventures (Former),www.biopathvc.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Bloomberg,www.bloomberg.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Blue Venture Fund,blueventurefund.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Blueprint Labs,blueprint.bryanjohnson.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Bluestein Ventures,https://bluesteinventures.com,"Food tech VC investing in future of food, foodtech, B2C and B2B food brands. $45M Fund III.",Chicago,seed,seed,$500K-$3M,"Food tech, CPG, F&B",Equity Funding Master
BlueStone Venture Partners,www.bluestonevp.com,,,,,,,Created from contacts (Active VCs CVCs)
Bond Collective – The Loop,,"Luxury riverfront space with craft coffee/beer, mother's rooms, and nationwide access passes",Civic Opera Building,,,,,Dilutive Capital Resources
Boston Consulting Group,www.bcg.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Boulder Investment Group Reprise,www.bigrventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Boundless Bio,www.boundlessbio.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
BoxGroup,https://www.boxgroup.com/,,,,,,,T4G Investor List
BrainTrust Fund,https://www.thebraintrust.com/home,,,,,,,T4G Investor List
Bridge Venture Fund,https://www.bridgeventurefund.com/,Early-stage technology companies in the Midwest.,Midwest,seed,seed,$250K-$2M,"Midwest tech, Early-stage",Equity Funding Master
Bright Ventures,www.brightventures.io,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Builders VC,https://www.builders.vc,Modernizing antiquated industries with technology and innovative solutions.,Chicago,Series A,"seed,Series A,Series B",$2M-$10M,"Industry transformation, B2B",Equity Funding Master
Builders VC (Top 5),https://www.builders.vc/,,,,,,,T4G Investor List
BVF (Blue Venture Fund),https://blueventurefund.com,Life sciences and healthcare technology investor.,Chicago,Series A,"seed,Series A,Series B",$2M-$10M,"Life sciences, Biotech",Equity Funding Master
Cadence Consulting,www.cadenceconsulting.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Calculum Inc,calculum.ai,,,,,,,Foodtech Investor List
California Resources,www.crc.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Capita3,https://www.capita3.com/,,,,,,,T4G Investor List
Capital One Business Grants,https://www.capitalone.com/,,,,,,,Non-Dilutive Capital Master
Capitalize VC,https://airtable.com/apppvODtMSw09eCae/pagCPM2mBqQUDmmmY/form,Chicago,"Chicago, IL",preseed,Pre-seed/Seed,,Commerce-enabled Tech,Equity Funding Master
Carr Workplaces AON Center,,"51st-floor suites with Millennium Park/Lake Michigan views, private offices with lockable doors, and team spaces with kitchens",200 E Randolph St,,,,,Dilutive Capital Resources
Cartier Women's Initiative,https://www.cartierwomensinitiative.com/,,,,,,,Non-Dilutive Capital Master
Catalina Crunch,us.catalinacrunch.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Chicago Arch Angels,https://www.chicagoarchangels.com/,Angel investment group focused on early-stage companies.,Chicago,seed,seed,$25K-$250K,Early-stage tech,Equity Funding Master
Chicago Early Growth Ventures,www.chicagoearly.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Chicago Innovation Exchange Accelerator,https://polsky.uchicago.edu/,,,,,,,Non-Dilutive Capital Master
Chicago Ventures,https://chicagoventures.com,Early-stage VC empowering founders to build enduring companies. Lead early rounds with operational support.,Chicago,seed,"preseed,seed,Series A",$500K-$5M,"B2B SaaS, Marketplace, Enterprise",Equity Funding Master
Chingona Ventures,https://www.chingona.ventures/,Supporting women and minority-led companies and overlooked founders.,Chicago,seed,"preseed,seed",$100K-$500K,"Women & minority-led, Consumer, B2B",Equity Funding Master
CIC Angels,https://www.cicangels.com/,,Global,seed,Early-stage,,Various,Equity Funding Master
City Hill Ventures,cityhill.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Cleveland Avenue,www.clevelandavenue.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
CME Ventures,,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
CMT Digital,https://cmt.digital,"Pre-seed to mid-stage blockchain, crypto, and digital assets investor.",Chicago,seed,"preseed,seed,Series A",$250K-$5M,"Blockchain, Crypto, Web3",Equity Funding Master
"CodeData, Inc.",https://www.codedata.io,,,,,,,Foodtech Investor List
CodeLaunch USA 2026,https://codelaunch.com/events/2026-usa/,,,,,,,Non-Dilutive Capital Master
Collab+Currency,www.collabcurrency.com,,,,,,,Created from contacts (Active VCs CVCs)
Collaborative Fund,www.collabfund.com,,,,,,,Created from contacts (Active VCs CVCs)
Connecticut Innovations,www.ctinnovations.com,,,,,,,Created from contacts (Active VCs CVCs)
Consumer Ventures,www.consumer.vc,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Cooper Management,www.cooper-management.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Corazon Capital V838 Monoceros,www.crznspac.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Cornerstone Angels,https://www.cornerstoneangels.com/,,Global,seed,Early-stage,,Various,Equity Funding Master
Correlation Ventures,www.correlationvc.com,,,,,,,Created from contacts (Active VCs CVCs)
Cosmic Venture Partners,https://www.cosmicvp.com/,,,,,,,T4G Investor List
Costella Kirsch,www.costellakirsch.com,,,,,,,Created from contacts (Active VCs CVCs)
CoverWallet (Former),www.coverwallet.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Critical Mass,www.criticalmass.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Cultivian Sandbox,https://cultiviansbx.com,Food and agriculture technology investor.,Chicago,Series A,"seed,Series A,Series B",$2M-$10M,"Food tech, AgTech",Equity Funding Master
Custom Product Engine Software,laudividni.com,,,,,,,Foodtech Investor List
Dashfire,www.dashfire.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
DCVC Bio (Top 5),https://www.dcvc.com/bio/,,,,,,,T4G Investor List
DCVC (Data Collective) (Top 5),https://www.dcvc.com/,,,,,,,T4G Investor List
Decasonic,https://decasonic.com,"Seed-Series A investor in Web3, AI/Data, and B2B/SaaS.",Chicago,seed,"seed,Series A",$500K-$3M,"Web3, AI, B2B SaaS",Equity Funding Master
DeskLabs,,"16,000 sqft venue with rooftop terrace and event spaces",Lakeview,,,,,Dilutive Capital Resources
DHVC,www.dh.vc,,,,,,,Created from contacts (Active VCs CVCs)
Diamond Peaks Consultancy Limited dba Xorosoft,www.xorosoft.com,,,,,,,Foodtech Investor List
Digital Currency Group,dcg.co,,,,,,,Created from contacts (Active VCs CVCs)
DNX Ventures,www.dnx.vc,,,,,,,Created from contacts (Active VCs CVCs)
Domain Associates,www.domainvc.com,,,,,,,Created from contacts (Active VCs CVCs)
DoorDash,www.doordash.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Dream Big Competition (BMO),https://www.bmoharris.com/,,,,,,,Non-Dilutive Capital Master
Drive Capital,https://www.drivecapital.com/,B2B/SaaS and Health/Med focus with strong Midwest presence.,Columbus,seed,"seed,Series A",$1M-$5M,"B2B SaaS, Healthcare",Equity Funding Master
dsm-firmenich Venturing,www.venturing.dsm.com/en_us/approach.html,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Duality Accelerator,https://www.dualityaccelerator.com/,Accelerator focused on diverse founders and underrepresented entrepreneurs.,Chicago,accelerator,accelerator,Grant (prize money),"Underrepresented founders, Impact",Equity Funding Master; Non-Dilutive Capital Master
Earth Foundry,https://www.earthfoundry.com/,Climate solutions venture studio and fund focusing on clean energy and sustainability.,Chicago,seed,seed,$250K-$2M,"Climate tech, Clean energy",Equity Funding Master
Earth Rising Foundation Grants,https://www.earthrisingfoundation.org/,,,,,,,Non-Dilutive Capital Master
EDA Disaster Supplemental - Industry Transformation,https://www.eda.gov/,,,,,,,Non-Dilutive Capital Master
EDA Tech Hubs - Stage II,https://www.eda.gov/,,,,,,,Non-Dilutive Capital Master
EIC Accelerator Step 2 - 1st Cutoff 2026,https://eic.ec.europa.eu/,,,,,,,Non-Dilutive Capital Master
EIC Accelerator Step 2 - 2nd Cutoff 2026,https://eic.ec.europa.eu/,,,,,,,Non-Dilutive Capital Master
Elevate Ventures,https://elevateventures.com/,Multiple funds & programs for Indiana-based startups.,Indiana,seed,"seed,Series A",$100K-$2M,Indiana startups,Equity Funding Master
Elevate Ventures - Community Ideation Fund,https://elevateventures.com/,,,,,,,Non-Dilutive Capital Master
Elevate Ventures - Pre-Seed Accelerator Fund,https://elevateventures.com/,,,,,,,Non-Dilutive Capital Master
Elm Street Ventures,www.elmvc.com,,,,,,,Created from contacts (Active VCs CVCs)
Emil Capital Partners,emilcapital.com,,,,,,,Created from contacts (Active VCs CVCs)
Encore Management Group,www.encoregroupinc.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Energize Capital,https://www.energizecap.com/,Climate software and sustainable innovation solutions investor.,Chicago,Series A,"Series A,Series B",$5M-$20M,"Climate software, Sustainability",Equity Funding Master
Energize Capital (Chicago),www.energizecap.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Energy Capital Ventures,www.energycapitalventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Energy Foundry,www.energyfoundry.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Enova International,www.enova.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Entrepreneurial Equity Initiative,https://www.jpmorgan.com/,,,,,,,Non-Dilutive Capital Master
Epsilon Health (Top 5),https://www.epsilonhi.com/,,,,,,,T4G Investor List
Eucalyptus Innovation Capital,www.eucalyptus-ic.com,,,,,,,Created from contacts (Active VCs CVCs)
Evergreen Climate Innovations,http://evergreeninno.org,,,,,,,Non-Dilutive Capital Master
Evergy Ventures,www.evergyventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain; Midwest Investors 2024 Foodtech)
EveryONE Medicines,www.everyonemedicines.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Eyana Tech Corp (EaseworkAI),https://easeworkai.com,,,,,,,Foodtech Investor List
Factor_,www.factor75.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Faire Small Business Grant,https://www.faire.com/,,,,,,,Non-Dilutive Capital Master
Farmer's Fridge,www.farmersfridge.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Fast Forward Nonprofit Accelerator,https://www.ffwd.org/,,,,,,,Non-Dilutive Capital Master
FedEx Small Business Grant,https://www.fedex.com/,,,,,,,Non-Dilutive Capital Master
Fifth Star Funds,https://www.fifthstarfunds.com/,"Focus on underrepresented founders, B2B/SaaS companies.",Chicago,preseed,preseed,$50K-$250K,"B2B SaaS, Underrepresented founders",Equity Funding Master
Findings,www.findings.co,,,,,,,Foodtech Investor List
FireStarter Fund,www.firestarterfund.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
First Analysis,www.firstanalysis.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
First Health Capital Partners,,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
First Round Capital,https://www.firstround.com/,,,,,,,T4G Investor List
First Round Capital (Top 5),https://www.firstround.com/,,,,,,,T4G Investor List
First Trust Capital Partners,ftcapitalpartners.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
FJ Labs,www.fjlabs.com,,,,,,,Created from contacts (Active VCs CVCs)
Flyover Capital,https://www.flyovercapital.com/,,,,,,,T4G Investor List
FM Capital,https://www.fmcap.com/,,,,,,,T4G Investor List
FNEX,www.fnex.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Forerunner Ventures (Top 5),https://www.forerunnerventures.com/,,,,,,,T4G Investor List
Formstack,www.formstack.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Forum Ventures,https://www.forumvc.com/,,,,,,,T4G Investor List
Forum Ventures - Launch,https://www.launch.co/,,,,,,,Non-Dilutive Capital Master
Forum Ventures — Launch Accelerator,https://www.launch.co/,"B2B SaaS, Marketplace, and Fintech accelerator program.",Global,accelerator,accelerator,$150K investment,"B2B SaaS, Marketplace, FinTech",Equity Funding Master
Founders Fund,www.foundersfund.com,,,,,,,Created from contacts (Active VCs CVCs)
Freed Fellowship,https://www.freedfellowship.com/,,,,,,,Non-Dilutive Capital Master
G Squared,www.gsquared.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
G2RL,www.g2rl.com,,,,,,,Foodtech Investor List
G2T3V,www.g2t3v.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Gaingels,https://www.gaingels.com/,"LGBTQ+ investment network with 10,000+ members backing high-growth startups.",National,seed,seed,$50K-$500K,LGBTQ+ founders & allies,Equity Funding Master; T4G Investor List
Ganas Ventures,https://www.ganas.vc/,,,,,,,T4G Investor List
Genblock Capital,genblock.capital,,,,,,,Created from contacts (Active VCs CVCs)
gener8tor Curql Accelerate,https://www.gener8tor.com/,,,,,,,Non-Dilutive Capital Master
gener8tor Great Lakes Innovation Accelerator,https://www.gener8tor.com/,,,,,,,Non-Dilutive Capital Master
General Catalyst (Top 5),https://www.generalcatalyst.com/,,,,,,,T4G Investor List
Global Insurance Accelerator 2026,https://www.globalinsuranceaccelerator.com/,,,,,,,Non-Dilutive Capital Master
Golden Seeds - Chicago Chapter,,Focus on female founders,Global,seed,Early-stage,,Women-led startups,Equity Funding Master
GoodBread,www.goodbread.net,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Goodwater Capital,www.goodwatercap.com,,,,,,,Created from contacts (Active VCs CVCs)
Google for Startups Cloud Program,https://cloud.google.com/startup,,,,,,,Non-Dilutive Capital Master
Granularity,https://granularity.ca/,,,,,,,Foodtech Investor List
Green Bay Ventures,https://www.greenbayventures.com/,,,,,,,T4G Investor List
Griffith Foods,www.griffithfoods.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Grow Forward,www.growforward.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
GrowthX Capital,www.growthx.com,,,,,,,Created from contacts (Active VCs CVCs)
Guidehouse,www.guidehouse.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
GV,www.gv.com,,,,,,,Created from contacts (Active VCs CVCs)
Halcyon Incubator,https://www.halcyonhouse.org/,,,,,,,Non-Dilutive Capital Master
Halo (Financial Software),www.haloinvesting.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Harvard Business School Angels - Chicago,https://www.hbsaec.org/,HBS alumni and Chicago startups,"Chicago, IL",seed,Early-stage,,Various,Equity Funding Master
Harvest Ridge Capital,www.harvestridgecapital.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Hatch 41,,"Bronzeville space with 3,000 plants and $150/month flex desks",4131 S State St,,,,,Dilutive Capital Resources
HBS Alumni Angels Chicago,https://www.hbsangels.com/,Harvard Business School alumni angel investment group.,Chicago,seed,"preseed,seed",$25K-$200K,HBS-connected startups,Equity Funding Master
Heartland Angels,https://www.heartlandangels.com/,,Global,seed,Early-stage,,Midwest startups,Equity Funding Master
Heartland Challenge,https://www.heartlandchallenge.com/,,,,,,,Non-Dilutive Capital Master
Hello Tomorrow Global Challenge,https://hello-tomorrow.org/,,,,,,,Non-Dilutive Capital Master
Hera Hub Chicago,,Spa-inspired women-centric space with business coaching,405 W Superior St,,,,,Dilutive Capital Resources
High Alpha,https://www.highalpha.com/,B2B SaaS venture studio and seed investor.,Indianapolis,seed,"studio,seed",$500K-$3M,B2B SaaS,Equity Funding Master
HighVista Venture Capital Fund XIV,,"Exceeded $200M target, focuses on hard-to-access markets",Global,seed,Early-stage,$270M raised,Early-stage venture fund managers,Equity Funding Master
Hivemind Ventures,www.hivemind.vc,,,,,,,Created from contacts (Active VCs CVCs)
Home Technology Ventures,www.htv.vc,,,,,,,Created from contacts (Active VCs CVCs)
Hoop (Business/Productivity Software),www.hoop.app,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Human Capital (Top 5),https://human.capital/,,,,,,,T4G Investor List
Hurt Family Investments,www.lucky7.io,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Hustle Fund Chicago,https://www.hustlefund.vc/,Pre-seed fund focused on underrepresented founders.,Chicago,seed,"preseed,seed",$25K-$250K,Underrepresented founders,Equity Funding Master
Hyde Park Angels,https://hydeparkangels.com,Largest angel group in Midwest with 100+ members.,Chicago,preseed,"preseed,seed",$25K-$250K,Industry-agnostic,Equity Funding Master
Hyde Park Venture Partners,https://www.hydeparkvp.com/,Pre-seed through early Series A investments in high-growth technology startups.,Chicago,seed,"preseed,seed,Series A",$500K-$3M,"High-growth tech, B2B",Equity Funding Master
IA Capital Group,www.iacapgroup.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
IDEA Fund Partners,www.ideafundpartners.com,,,,,,,Created from contacts (Active VCs CVCs)
Illini Angels,https://www.illiniangels.com/,University of Illinois alumni angel investment group.,Illinois,seed,"preseed,seed",$25K-$150K,UIUC-connected startups,Equity Funding Master
Illinois SBDC - Innovation Voucher,https://dceo.illinois.gov/,,,,,,,Non-Dilutive Capital Master
Illinois Ventures,https://illinoisventures.com,"Investing in University of Illinois deep tech startups. 20+ years, strong alumni network.",Champaign,seed,"seed,Series A",$250K-$2M,"DeepTech, UIUC-connected",Equity Funding Master
Illumina Ventures,www.illuminaventures.com,,,,,,,Created from contacts (Active VCs CVCs)
Inc.U Competition (Invent Penn State),https://invent.psu.edu/programs/inc-u-competition/,,,,,,,Non-Dilutive Capital Master
Independence Equity Management,www.independence-equity.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Industrious,,Ergonomic-focused spaces with corporate-grade design,River North/West Loop,,,,,Dilutive Capital Resources
InStockRx,instockrx.com,,,,,,,Foodtech Investor List
Interro Partners,www.interropartners.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Invenergy,www.invenergy.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
iPurvey,ipurvey.com,,,,,,,Foodtech Investor List
IrishAngels,https://irishangels.com/,Notre Dame alumni angel investment group.,Chicago,seed,seed,$25K-$150K,Notre Dame-connected,Equity Funding Master
JLS Fund,www.jls.fund,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
