name,website,description,location,stage,all_stages,check_size,focus_areas,source
Jump Capital,https://jumpcap.com,"Data-driven tech investor focused on Fintech, IT, B2B SaaS, and Media.",Chicago,Series A,"Series A,Series B",$5M-$20M,"Fintech, B2B SaaS, Media",Equity Funding Master
JumpStart Ventures,https://jumpstart.vc/,Healthcare and tech-enabled services. Northeast Ohio focus with national reach.,Cleveland,seed,"seed,Series A",$500K-$3M,"Healthcare, Tech services",Equity Funding Master
Kapor Capital,https://www.kaporcapital.com/,Invests in companies solving problems in underrepresented communities (gap-closing tech).,Oakland,seed,seed,$500K-$2M,Gap-closing tech,Equity Funding Master
Karma Wallet,www.karmawallet.io,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
KB Partners,www.kbpartners.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain; 1871 Emerging Tech Showcase Jul 24 2025; 1871 Emerging Tech Showcase Oct 2025; Emerging Tech Showcase Jul 24 2025; Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Kilmahew Ventures,www.kilmahew.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Kisbee Therapeutics,www.kisbeetx.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
KNNX Corp.,knnx.com,,,,,,,Foodtech Investor List
KohFounders,www.kohfounders.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
La Marzocco,lamarzocco.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Lake Forest College Venture Design Challenge 2026,https://www.lakeforest.edu/academics/majors-and-minors/entrepreneurship-and-innovation/venture-design-challenge,,,,,,,Non-Dilutive Capital Master
Landis Family Fellow by mHUB,https://mhubchicago.com,,,,,,,Non-Dilutive Capital Master
LaunchKC Grants — 2026 Cohort,https://www.launchkc.org/,,,,,,,Non-Dilutive Capital Master
Levy Family Partners,,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Lightbank,https://www.lightbank.com/,Chicago VC founded by Groupon co-founders Brad Keywell & Eric Lefkofsky.,Chicago,seed,"seed,Series A",$500K-$5M,"High-growth tech, Consumer",Equity Funding Master
Lightship Capital,https://www.lightship.capital/,Pre-seed B2B/SaaS investor.,Cincinnati,preseed,preseed,$100K-$500K,B2B SaaS,Equity Funding Master
Liont,www.liontllc.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Liquid 2 Ventures,www.liquid2.vc,,,,,,,Created from contacts (Active VCs CVCs)
Listen Ventures,https://www.listen.co,"Most active investor in Midwest. Consumer brands, D2C, Wellness, Food & Beverage focus.",Chicago,seed,seed,$500K-$2M,"Consumer, D2C, Wellness, Food & Beverage",Equity Funding Master
Lofty Ventures,https://www.loftyventures.com/,,Global,seed,Early-stage,,Various,Equity Funding Master
"Logistify AI, Inc.",https://www.logistify.ai/,,,,,,,Foodtech Investor List
Long Chicago,,Partners with Techstars to revive Techstars Chicago,"Chicago, IL",seed,Early-stage,$12.5M fund,Local Chicago startups,Equity Funding Master
LongBall Insurance Services,www.longball.capital,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
LongJump,https://tally.so/r/3qEA5Y,Chicago program,"Chicago, IL",preseed,Pre-seed,$100k + services,Industry-agnostic,Equity Funding Master
LongJump VC,https://longjump.vc,Pre-seed program focused on underrepresented founders in Chicago.,Chicago,preseed,preseed,$10K-$100K,"Industry-agnostic, Underrepresented founders",Equity Funding Master
Looks For Lease Inc.,https://looksforlease.com/,,,,,,,Foodtech Investor List
Lorimer Ventures,www.lorimerventures.com,,,,,,,Created from contacts (Active VCs CVCs)
M25,https://www.m25vc.com/,Most active investor in Midwest startups. Rolling applications. Focus exclusively on Midwest-headquartered tech companies.,Chicago,seed,"preseed,seed,Series A",$250K-$2M,Tech companies (Midwest only),Equity Funding Master
Mammoth,https://www.mammothcpg.com/,,,,,,,Foodtech Investor List
Mandell Ventures,www.mandellventuresllc.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Manifold Group,www.manifold.group,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain; Midwest Investors 2024 Foodtech)
Map-Collective Inc,Map-Collective Inc,,,,,,,Foodtech Investor List
MassChallenge Chicago,https://masschallenge.org/,,,,,,,Non-Dilutive Capital Master
MassChallenge HealthTech,https://masschallenge.org/,,,,,,,Non-Dilutive Capital Master
Mats Lederhausen,,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Matter (Services (B2C Non-Financial)),www.matter.xyz,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Maven Ventures,www.mavenventures.com,,,,,,,Created from contacts (Active VCs CVCs)
MD Angels,https://www.mdangels.com/,,Global,seed,Early-stage,,"Healthcare, Medical",Equity Funding Master
Method Capital,method.capital,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
mHUB Hardtech Accelerator,https://mhubchicago.com/,"MedTech, Smart Manufacturing, and EnergyTech cohorts for hardtech startups.",Chicago,accelerator,accelerator,Varies,"MedTech, Smart Manufacturing, EnergyTech",Equity Funding Master
mHUB Spark Fund II,,"Energy, medtech, manufacturing, 65 startups over 4 years",Global,seed,Seed,$20M target,"Hardtech, Physical Products",Equity Funding Master
Microsoft for Startups Founders Hub,https://www.microsoft.com/startups,,,,,,,Non-Dilutive Capital Master
Modern Ventures,https://www.moderneventures.com/,,Global,Series A+,Seed/Series A,,"PropTech, InsurTech, FinTech, Real Estate Tech",Equity Funding Master
Moderne Passport,https://www.moderneventures.com/passport,,,,,,,Non-Dilutive Capital Master
Moderne Passport Industry Immersion,https://www.moderneventures.com/,,,,,,,Non-Dilutive Capital Master
Moderne Ventures,https://www.moderneventures.com/,"Strategic VC investing in PropTech, InsurTech, FinTech, Real Estate Tech.",Chicago,seed,"seed,Series A",$500K-$5M,"PropTech, InsurTech, FinTech",Equity Funding Master
Mox.E Coworking,,Black-/women-owned space with enterprise tech infrastructure and coaching,1449 S Michigan Ave,,,,,Dilutive Capital Resources
mPOWER by mHUB,https://mhubchicago.com/,Grant program for early-stage hardtech and deeptech startups.,Chicago,accelerator,accelerator,$50K grants,"Hardtech, DeepTech",Equity Funding Master; Non-Dilutive Capital Master
NASE Growth Grants,https://www.nase.org/,,,,,,,Non-Dilutive Capital Master
New Stack Ventures,www.newstack.com,,,,,,,Created from contacts (1871 Consumer Tech Showcase Sep 2025; Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain; Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Next Chapter Ventures,https://www.ncvinvestments.com/founders,,Global,preseed,Pre-seed/Seed,,Scalable business models,Equity Funding Master
Next Coast Ventures,https://www.nextcoast.vc/,Midwest B2B software companies. Strong Great Lakes region focus.,Ann Arbor,seed,seed,$250K-$2M,Midwest B2B SaaS,Equity Funding Master
Nimbler Spaces,,Community-driven workspace with networking events and global locations,444 N Wabash Ave,,,,,Dilutive Capital Resources
NiSource (Former),investors.nisource.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
NIST MEP,https://www.nist.gov/mep,,,,,,,Non-Dilutive Capital Master
Nomadic Venture Partners,https://nomadicvp.com,Climate/Energy and Ag/Food technology investor.,Chicago,seed,seed,$500K-$2M,"Climate, Energy, Ag, Food",Equity Funding Master
Nourish Ventures,www.nourishventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
NSF I-Corps,https://www.nsf.gov/,,,,,,,Non-Dilutive Capital Master
Numerator,www.numerator.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
nvp capital,www.nvpcap.com,,,,,,,Created from contacts (Active VCs CVCs)
OCA Ventures,https://www.ocaventures.com/,Tech and scalable services with dramatic growth potential. US and Canada only.,National,seed,"seed,Series A",$1M-$5M,"Tech, Scalable services",Equity Funding Master
Ocient,www.ocient.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Oklo,www.oklo.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Open Prairie Ventures,www.openprairie.com,,,,,,,Created from contacts (Active VCs CVCs)
Opportunity Fund,https://www.opportunityfund.org/,,,,,,,Non-Dilutive Capital Master
Orbital Therapeutics,www.orbitaltx.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Origin Ventures,https://www.originventures.com/,"Marketplace, Software, Consumer services focus (Digital Native Economy).",Chicago,seed,"seed,Series A",$1M-$5M,"Marketplace, Software, Consumer",Equity Funding Master
Origin Ventures Fund VI,https://www.originventures.com/,Expanding into deep-tech,Global,seed,Early-stage,$140M raised,"AI, Defense, Frontier Tech",Equity Funding Master
P33 Chicago,www.p33chicago.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
P33 Chicago Civic Innovation Challenge,https://www.p33chicago.com/,,,,,,,Non-Dilutive Capital Master
PACE Healthcare Capital,https://www.pacehealthcapital.com/,"Early-stage healthcare VC focused on digital health, health IT, and healthcare services.",Chicago,seed,"seed,Series A",$500K-$5M,"Digital health, Health IT",Equity Funding Master
Participate Capital,www.participatecapital.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
PEAK6,https://peak6.com,Investment firm building and investing in businesses that ought to be. Focus on consumer tech.,Chicago,Series A,"seed,Series A,Series B",$2M-$15M,"Consumer tech, Trading tech",Equity Funding Master
PEAK6 Investments,www.peak6.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Perkspot,www.perkspot.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
PitchBook University Innovation Prize,https://pitchbook.com/,,,,,,,Non-Dilutive Capital Master
Plug and Play Tech Center,https://www.plugandplaytechcenter.com/,Global innovation platform and accelerator across multiple verticals.,Sunnyvale,preseed,"preseed,seed",Varies,"AgriTech, Energy, FinTech, Health, DeepTech",Equity Funding Master
Polychain Capital,polychain.capital,,,,,,,Created from contacts (Active VCs CVCs)
PowerReviews,www.powerreviews.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Prime Medicine,www.primemedicine.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Pritzker Group,https://www.pritzkergroup.com/,"Venture capital firm focused on SaaS, marketplace, and middle market companies.",Chicago,seed,"seed,Series A,Series B",$1M-$10M,"SaaS, Marketplace, Consumer",Equity Funding Master
Pritzker Group Venture Capital,www.pritzkergroup.com/venture-capital,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Profound Ventures (California),www.profoundvc.com,,,,,,,Created from contacts (Active VCs CVCs)
Promus Ventures,www.promusventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Propellant Ventures,https://www.propellant.vc/,Chicago early-stage,"Chicago, IL",preseed,Pre-seed/Seed,$100k-$500k,"B2B: HealthTech, Future of Work, Supply Chain, FinTech, EdTech",Equity Funding Master
Puttshack,www.puttshack.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
QualSights,www.qualsights.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Rancilio Cube,www.ranciliocubesicaf.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Redbud VC,https://www.redbudvc.com/,"Midwest B2B software, agtech, and industrial technology.",Madison,seed,seed,$250K-$2M,"B2B, AgTech, Industrial",Equity Funding Master
REFASHIOND Ventures,www.refashiond.com,,,,,,,Created from contacts (Active VCs CVCs)
RelaDyne,www.reladyne.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Render Capital,https://www.rendercapital.com/,,,,,,,Non-Dilutive Capital Master
Resilience VC,resilience.vc,,,,,,,Created from contacts (Active VCs CVCs)
Revolution Healthcare Acquisition,www.revolutionhealthcareacqcorp.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Rice Business Plan Competition,https://rbpc.rice.edu/,,,,,,,Non-Dilutive Capital Master
Rippl (Elder and Disabled Care),www.ripplcare.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Rivet Ventures,www.rivetventures.com,,,,,,,Created from contacts (Active VCs CVCs)
RosePaul Ventures,www.rosepaul.com,,,,,,,Created from contacts (Active VCs CVCs)
S2G Investments,https://www.s2gventures.com/,"Multi-stage VC focused on food, agriculture, and sustainability. $1B+ AUM.",Chicago,Series A,"seed,Series A,Series B",$5M-$20M,"Food, Agriculture, Sustainability",Equity Funding Master
S2G Ventures,www.s2gventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain; Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain; Tech For Good Showcase Aug 13 2025; Tech For Good Showcase Aug 15 2025; Tech For Good Showcase Aug 18 2025; Tech For Good Showcase Aug 19 2025; Tech For Good Showcase Aug 20 2025)
S4S Ventures,www.s4sventures.com,,,,,,,Created from contacts (Active VCs CVCs)
Salveo Capital,www.salveocapital.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Samuel A. Ramirez & Company,www.ramirezco.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Sandalphon Capital,https://sandalphoncapital.com/,"Chicago/Midwest, digital transformation focus","Chicago, IL",preseed,Pre-seed/Seed,"$100k-$250k (Pre-seed), $500k-$1M (Seed)","Digital Health, InsurTech, FinTech, PropTech, GovTech",Equity Funding Master
Sandbox Industries,https://sandboxindustries.com,"VC investing in healthcare, insurance, and food & agriculture innovation.",Chicago,seed,"seed,Series A,Series B",$1M-$10M,"Healthcare, Insurance, Food & Ag",Equity Funding Master
SBIR Phase I - DOD,https://www.sbir.gov/,,,,,,,Non-Dilutive Capital Master
SBIR Phase I - DOE,https://www.energy.gov/sbir/,,,,,,,Non-Dilutive Capital Master
SBIR Phase I - NASA,https://sbir.nasa.gov/,,,,,,,Non-Dilutive Capital Master
SBIR Phase I - NIH,https://sbir.nih.gov/,,,,,,,Non-Dilutive Capital Master
SBIR Phase I - NSF,https://seedfund.nsf.gov/,,,,,,,Non-Dilutive Capital Master
SBIR Phase I - USDA,https://www.nifa.usda.gov/sbir,,,,,,,Non-Dilutive Capital Master
Sente Ventures,www.sente.vc,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Serra Ventures,https://www.serraventures.com/,Early-stage investor in Midwest technology companies.,Champaign,preseed,"preseed,seed,Series A",$250K-$3M,"Midwest tech, B2B",Equity Funding Master
Servcorp,,Premium virtual offices with global lounge access,444 W Lake St,,,,,Dilutive Capital Resources
Shore Capital Partners Fund VI & II,,"$625M Healthcare Fund VI, $5M-$200M revenue companies",Global,seed,Growth,$850M raised,"Healthcare, Search Funds",Equity Funding Master
Siddhi Capital,www.siddhicapital.co,,,,,,,Created from contacts (Active VCs CVCs)
Silicon Alley Venture Partners,www.savp.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Silicon Valley Software Group,www.svsg.co,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Slauson & Co - Friends & Family,https://c9dk4mvfi53.typeform.com/to/X9xmDDcg,,,,,,,Non-Dilutive Capital Master
Slojo Investments,www.slojoinvestments.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Solanus Capital Partners,,"Focus on grit, tenacity, domain expertise",Global,preseed,Pre-seed/Seed,$5M fund,Sector-agnostic,Equity Funding Master
South Summit Startup Competition - Madrid,https://www.southsummit.co/,,,,,,,Non-Dilutive Capital Master
Space Symposium Innovate Pitch Competition,https://www.spacesymposium.org/innovate-pitch-competition/,,,,,,,Non-Dilutive Capital Master
SparkWV - Round 2,https://www.edvgroup.org/,,,,,,,Non-Dilutive Capital Master
Spider Capital,www.spidercapital.com,,,,,,,Created from contacts (Active VCs CVCs)
Spiral Sun Ventures,www.spiralsunventures.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Spring Lane Capital,www.springlanecapital.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
SR One Capital Management,www.srone.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Starting Line,https://www.startingline.vc/,Consumer VC for '99% economy' - democratizing access. $30M Fund II.,Chicago,seed,seed,$250K-$1M,Consumer for the 99%,Equity Funding Master
Startmate (Australia/NZ),https://www.startmate.com/,,,,,,,Non-Dilutive Capital Master
Start.Pivot.Grow,https://www.startpivotgrow.com/,,,,,,,Non-Dilutive Capital Master
Strategy Robot,www.strategyrobot.ai,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Stripe Climate Frontier Fund,https://stripe.com/climate,,,,,,,Non-Dilutive Capital Master
STTR Phase I (All Agencies),https://www.sbir.gov/,,,,,,,Non-Dilutive Capital Master
Supply Change Capital,https://www.supplychangecapital.com/,Ag/Food focus targeting diverse founders with food/ag traction.,Chicago,seed,seed,$250K-$2M,"Ag/Food, Diverse founders",Equity Funding Master
Taft Stettinius & Hollister,www.taftlaw.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Tawani Ventures,https://tawaniventures.com/,,Global,seed,Seed/Early-stage,,"Defense, Aerospace, Dual-use Tech",Equity Funding Master
TeamWorking by TechNexus,,"100,000+ sqft tech hub with rooftop workspace and corporate-grade AV",20 N Wacker Dr,,,,,Dilutive Capital Resources
Techstars Chicago,https://www.techstars.com/,"In-person accelerator program providing funding, mentorship, and network access.",Chicago,accelerator,accelerator,$20K + $100K convertible,"Industry-agnostic, High-growth",Equity Funding Master
Techstars Healthcare (Northwestern Medicine),https://www.techstars.com/,Healthcare-specific Techstars program in partnership with Northwestern Medicine.,Chicago,accelerator,accelerator,$20K + $100K convertible,Healthcare,Equity Funding Master
Tectonic Ventures,www.tectonicventures.com,,,,,,,Created from contacts (Active VCs CVCs)
TEDCO,www.tedcomd.com,,,,,,,Created from contacts (Active VCs CVCs)
Tensility Venture Partners,www.tensilityvc.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
The Intertwine Group,www.tigbrands.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
The Josephine Collective,https://joinjosephine.com/,,Global,seed,Early-stage,,Various,Equity Funding Master
The Pitch,,"26,000 sqft space with pro-level AV equipment and flexible offices near transit hubs",1 N State St,,,,,Dilutive Capital Resources
The Raise by LongJump,https://longjump.vc,"6-part in-person program (Jan 20 - March 11, 2026). 15 founders selected, 5 receive $10K grants. For post-product, pre-pre-seed Chicago founders planning to fundraise spring/summer 2026.",Chicago,accelerator,accelerator,$10K grants,Pre-seed fundraising preparation,Equity Funding Master; Non-Dilutive Capital Master
The Tory Burch Foundation Fellowship,https://www.toryburchfoundation.org/,,,,,,,Non-Dilutive Capital Master
Threekit,www.threekit.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
TJM Capital Partners,www.tjmcapitalpartners.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
TopGolf Callaway Brands,www.topgolfcallawaybrands.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
TradingPartners,www.tradingpartners.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Triangle Tweener Fund,tweenerfund.com,,,,,,,Created from contacts (Active VCs CVCs)
Tribeca Venture Partners,https://tribecavp.com/,,,,,,,T4G Investor List
Trirec,www.trirec.co,,,,,,,Created from contacts (Active VCs CVCs; Midwest Investors 2024 Foodtech)
Trivie,www.trivie.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
True Capital Partners,www.trueplatform.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Turtle Ventures,www.turtlevc.co,,,,,,,Created from contacts (Active VCs CVCs)
Twain Financial Partners,www.twainfinancial.com,,,,,,,Created from contacts (Active VCs CVCs)
UN Global Compact Young SDG Innovators Programme,https://unglobalcompact.org/,,,,,,,Non-Dilutive Capital Master
Uncommon Projects,uncommon.fyi,,,,,,,Created from contacts (Active VCs CVCs)
Union Square Ventures,www.usv.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
United Airlines Holdings,www.united.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
United Airlines Ventures,,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Upheaval Investments,www.upheavalinvestments.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Uptake (Former),www.uptake.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Urban-X Accelerator,https://www.urban-x.com/,,,,,,,Non-Dilutive Capital Master
U.S. Venture Partners,www.usvp.com,,,,,,,Created from contacts (Active VCs CVCs)
VamosVentures,https://www.vamosventures.com/,Investment fund supporting Latinx founders and startups serving Latino communities.,National,seed,"preseed,seed",$100K-$500K,"Latinx founders, Latino communities",Equity Funding Master
Velvet (Business/Productivity Software),www.usevelvet.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Venture Forward Capital,www.ventureforwardcapital.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
VentureCat Northwestern 2026,https://www.venturecat.northwestern.edu/schedule-key-dates/,,,,,,,Non-Dilutive Capital Master
Ventureneer,https://www.ventureneer.com/,,,,,,,Non-Dilutive Capital Master
VentureWell E-Team Grant,https://venturewell.org/,,,,,,,Non-Dilutive Capital Master
Vernon & Park Capital,vernonpark.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
VestedWorld,www.vestedworld.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Vilya,www.vilyatx.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Vir (Former),www.vir.bio,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Visionary Capital Partners,www.visionarycapitalpartners.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
"Vitality Capital, LLC",www.vitalitycapitalllc.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Vitalize Angels,https://www.vitalizeangels.com/,,Global,seed,Early-stage,,Various,Equity Funding Master
VITALIZE Venture Capital,vitalize.vc,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain; Midwest Investors 2024 Foodtech)
ViVE Startup Pitch 2026,https://viveevent.com/startup-pitch,,,,,,,Non-Dilutive Capital Master
Volta Energy Technologies,volta.vc,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Walden Biosciences,www.waldenbiosciences.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Wayfinder Ventures,www.wayfinder.com,,,,,,,Created from contacts (Active VCs CVCs)
We Pitch Black,https://wepitchblack.com/,,,,,,,Non-Dilutive Capital Master
Wealth Strategist Partners,www.wspcio.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
WEC Energy Group (Former),www.wecenergygroup.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
West Suburban Angels Inc.,https://www.westsuburbanangels.com/,,Global,seed,Early-stage,,Chicago suburban startups,Equity Funding Master
Westbound Equity Partners,https://westboundequity.com/,"Building Wealth & Opportunity for Black, Latino, and underrepresented founders of color. $100M Fund II.",National,seed,"preseed,seed",$250K-$2M,"Black, Latino, Underrepresented founders",Equity Funding Master
WeWork,,Global coworking brand with dog-friendly policies and food hall access,515 N State St,,,,,Dilutive Capital Resources
Wintrust Ventures,,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Women's Startup Lab Accelerator,https://www.womenstartuplab.com/,,,,,,,Non-Dilutive Capital Master
Workbox – Fulton Market,,"65,000 sqft former WeWork space in Fulton Market with wellness rooms",220 N Green St,,,,,Dilutive Capital Resources
XLerateHealth,www.xleratehealth.com,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
XV Venture Capital,,,,,,,,Created from contacts (Chicagoland Foodtech Investors; Chicagoland Foodtech Supply Chain)
Y Combinator,https://www.ycombinator.com/,"World's leading startup accelerator. Provides funding, mentorship, and network. 2 cohorts per year.",Mountain View,preseed,preseed,$500K (2024 batch),"Industry-agnostic, High-growth",Equity Funding Master
ZenBusiness Startup Grant,https://www.zenbusiness.com/,,,,,,,Non-Dilutive Capital Master
